,age,height_cm,weight_kgs,positions,potential,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
16080,30,170.18,72.1,823,74,1,4,4,6,70,73,68,65,76,77,73,79,60,75,77,78,81,70,77,79,76,72,65,70,55,29,70,66,73,72,21,38,33
476,25,172.72,68.9,481,79,2,3,4,3,72,66,33,72,55,81,69,65,61,79,86,83,90,64,88,80,43,69,43,75,38,22,73,72,57,68,23,26,30
4561,28,193.04,88.0,823,55,1,2,2,6,32,55,56,45,47,50,38,30,31,49,63,62,56,48,42,58,65,62,80,51,61,16,50,48,58,50,14,10,15
1429,28,182.88,74.8,149,70,1,3,2,3,69,61,61,65,58,54,54,47,63,73,67,69,71,72,62,72,68,83,74,52,74,70,66,64,52,68,70,65,61
5608,19,190.5,83.9,104,73,1,3,2,3,35,24,55,53,32,37,38,29,51,34,51,52,44,51,50,38,67,67,73,16,48,51,26,34,40,44,50,56,54
11998,24,165.1,59.9,742,72,1,4,3,3,55,65,45,58,49,71,64,58,55,69,90,86,92,60,92,58,83,72,31,58,59,37,61,58,62,58,19,37,38
12689,25,154.94,78.0,104,70,1,3,2,6,49,40,64,57,38,57,48,39,48,49,67,64,65,68,68,52,84,68,68,37,74,67,41,47,51,56,63,69,70
12948,20,152.4,68.0,247,83,1,3,3,3,62,59,48,74,53,66,60,47,72,66,73,75,71,64,69,72,63,68,61,51,66,56,68,66,47,70,58,59,61
13562,32,152.4,73.0,637,69,1,2,2,6,60,40,63,62,28,60,49,38,55,63,65,57,53,65,70,32,83,70,66,39,80,73,56,57,38,63,72,74,73
322,29,154.94,79.8,328,77,2,3,3,6,76,56,72,70,59,70,77,55,68,74,78,77,76,72,73,78,85,82,77,77,85,69,49,48,59,75,76,78,80
2995,26,182.88,73.9,228,67,1,3,3,3,63,53,58,67,58,63,67,70,59,63,74,75,71,61,64,66,57,74,66,54,67,59,64,65,60,62,42,58,55
7103,19,172.72,73.9,227,72,1,3,2,6,48,41,60,64,46,61,45,46,61,62,69,66,70,55,75,53,67,64,58,38,57,56,61,60,37,62,43,53,48
101,24,152.4,77.1,15,84,2,4,3,6,70,79,56,79,78,79,74,63,67,81,83,77,75,85,79,86,75,84,76,81,70,55,81,79,65,75,58,55,51
9345,24,182.88,79.8,693,69,1,2,3,6,61,51,32,64,45,67,64,37,47,66,80,74,76,53,69,62,56,70,64,50,49,32,59,62,41,66,46,30,26
17473,31,190.5,91.2,149,79,2,4,3,6,53,66,79,83,66,69,66,70,81,80,39,35,51,75,31,79,64,66,84,65,75,77,77,76,73,77,78,76,73
5617,17,182.88,69.9,104,69,1,2,2,6,43,24,56,52,27,40,28,28,48,47,65,63,42,45,62,35,58,55,57,19,48,57,29,34,31,39,53,56,56
11377,25,198.12,88.0,327,70,1,2,1,3,19,9,20,29,12,13,13,8,26,25,42,43,33,66,37,19,57,30,68,9,31,18,11,37,16,38,14,16,14
7020,28,182.88,78.9,823,60,1,3,2,6,31,64,60,48,63,51,35,38,26,56,66,67,65,53,63,62,68,51,61,60,31,17,60,43,66,55,18,16,19
3578,31,152.4,78.0,574,62,1,3,2,6,55,28,51,57,21,54,35,29,53,61,62,65,70,58,70,48,77,66,65,31,64,60,43,42,36,61,65,64,64
2026,25,175.26,72.1,701,73,1,3,3,3,58,66,49,66,58,70,66,42,56,64,83,79,78,64,82,66,58,67,61,57,46,21,67,60,65,56,51,30,35
9845,28,175.26,64.9,634,64,1,3,2,6,60,50,47,58,50,60,50,35,53,61,84,85,86,60,83,57,85,88,76,42,49,53,52,50,41,58,60,61,57
6195,23,185.42,79.8,327,62,1,2,1,6,11,6,14,17,7,10,9,11,26,15,31,27,25,56,34,16,55,32,55,6,32,15,3,38,14,37,16,9,13
5564,20,187.96,77.1,104,64,1,3,2,3,30,16,57,37,23,26,23,25,38,30,43,52,36,44,43,33,70,44,63,25,62,52,22,30,16,44,49,55,56
10428,34,182.88,69.9,104,65,1,3,2,3,52,35,70,57,39,33,46,48,55,54,59,56,62,62,63,42,70,61,70,37,61,65,53,59,48,58,60,65,64
5071,19,185.42,74.8,104,66,1,3,2,6,25,24,48,39,30,33,28,26,38,42,59,62,39,44,64,42,75,33,67,22,49,45,28,33,33,43,47,51,49
8503,26,152.4,74.8,584,64,1,2,2,3,42,49,45,62,40,61,37,37,55,62,62,67,72,58,68,48,59,78,66,41,38,66,52,59,59,63,62,60,58
11063,21,152.4,64.0,140,78,1,3,2,3,44,44,57,65,36,57,45,41,63,66,61,62,69,61,71,59,66,71,69,47,74,64,57,54,50,58,62,68,66
9902,26,187.96,81.2,823,67,1,4,3,6,43,70,68,49,61,51,55,40,34,57,58,69,65,57,58,65,75,69,73,62,51,22,67,38,59,55,25,18,10
10513,27,182.88,71.2,566,66,1,3,3,3,65,47,47,65,42,65,65,69,55,67,81,77,80,64,77,49,53,70,61,31,55,62,60,64,45,59,59,57,54
15818,22,152.4,76.2,874,83,1,4,3,6,45,74,61,68,63,79,47,41,50,78,89,85,78,73,77,70,69,72,63,66,61,20,70,50,69,61,22,18,24
7978,26,170.18,68.9,75,65,1,3,3,6,63,54,51,65,63,63,50,53,61,61,60,66,63,60,77,64,61,73,64,61,66,26,57,63,63,60,29,21,19
12726,24,185.42,77.1,104,74,1,3,2,3,56,34,67,63,37,50,55,49,67,59,68,73,59,65,61,39,73,73,73,25,59,70,55,43,45,58,64,65,69
5639,25,182.88,76.2,327,60,1,3,1,6,10,7,13,15,8,10,11,11,20,14,34,32,34,50,44,16,56,45,58,9,27,11,15,26,14,21,7,11,14
8913,27,154.94,81.2,15,64,1,3,3,6,58,44,46,68,47,63,36,58,65,67,57,67,64,69,72,65,64,81,75,52,79,66,57,62,38,66,48,63,63
14458,29,152.4,78.9,140,70,1,3,2,9,58,53,63,68,55,54,49,40,64,68,69,74,65,66,63,65,66,79,81,51,80,72,55,53,52,70,64,71,70
2585,31,154.94,69.9,489,66,1,3,3,6,58,69,64,61,59,65,61,63,53,67,75,75,63,63,52,65,61,69,72,65,49,26,65,57,65,56,34,25,29
4074,28,170.18,66.2,824,60,1,2,3,9,51,61,45,65,56,66,42,31,62,63,61,59,68,62,69,52,60,65,66,60,52,40,61,55,63,60,35,17,13
828,28,175.26,72.1,749,73,2,3,4,6,76,72,41,74,70,76,77,80,70,76,79,77,82,62,79,79,65,61,57,78,35,44,65,67,74,62,30,28,23
4391,19,175.26,77.1,572,71,1,2,2,6,45,31,53,53,29,62,36,41,47,40,69,54,53,55,68,31,56,62,57,28,54,54,49,37,45,38,49,67,64
8852,24,172.72,73.0,328,70,1,2,2,6,56,42,51,62,36,63,47,35,57,50,73,63,75,59,76,56,55,66,60,40,57,63,52,44,41,67,57,66,68
2958,22,154.94,72.1,0,73,1,4,3,6,60,59,52,64,54,68,61,58,53,65,69,66,70,63,66,68,55,72,56,60,42,36,61,63,58,62,50,34,34
7712,23,193.04,73.9,327,71,1,2,1,3,12,7,10,20,9,9,10,11,29,15,29,29,58,48,25,21,58,26,59,5,19,6,7,39,21,37,17,10,12
13988,25,152.4,78.0,846,73,1,3,3,6,60,73,59,67,59,73,46,40,57,70,79,78,75,65,68,73,67,67,71,67,54,36,65,65,59,68,34,35,33
856,31,175.26,66.2,675,73,1,3,3,3,75,63,46,71,54,77,84,61,65,73,78,74,84,65,78,62,67,66,55,70,58,30,69,73,73,70,40,32,35
5735,26,185.42,72.1,146,57,1,3,2,6,54,56,54,58,55,55,54,54,55,55,54,55,62,51,66,57,57,62,53,56,58,50,53,58,58,53,55,49,47
9508,19,187.96,83.9,823,81,1,3,3,3,36,64,60,57,54,66,47,33,41,65,80,78,57,56,47,66,62,56,73,49,31,17,57,57,66,65,18,17,16
15665,26,170.18,68.0,835,76,1,3,3,3,67,74,63,71,69,74,61,62,64,74,84,78,87,75,86,67,72,83,60,72,46,56,77,71,70,66,50,55,54
8085,23,152.4,72.1,307,70,1,4,2,6,57,59,40,63,53,68,69,61,55,65,74,76,66,60,66,55,46,72,50,63,36,47,60,63,55,46,29,45,28
15807,25,187.96,84.8,104,78,1,2,2,9,56,44,76,66,42,59,39,37,68,64,52,51,52,68,42,68,53,71,82,48,76,70,44,44,60,60,72,76,71
2008,32,182.88,78.0,574,68,1,3,2,6,60,43,72,67,33,61,49,42,66,64,66,65,68,69,64,58,65,71,72,45,78,68,58,61,37,68,67,70,66
1710,25,182.88,69.9,272,73,1,2,3,3,59,65,52,72,57,76,70,65,68,70,82,76,78,71,72,65,31,69,63,72,51,48,67,68,52,63,49,48,43
5715,22,185.42,74.8,327,63,1,3,1,3,13,7,11,18,5,9,11,13,24,19,17,16,37,43,41,20,62,25,41,5,26,7,4,32,17,23,6,10,12
15622,24,152.4,73.9,675,77,1,3,3,3,69,66,40,68,50,78,75,62,60,70,77,82,78,64,75,73,46,66,59,73,31,18,68,71,68,65,34,38,39
6045,22,187.96,86.2,327,65,1,2,1,6,15,16,15,17,18,15,11,12,16,14,30,32,24,51,39,19,41,25,59,18,21,15,16,32,16,43,30,11,12
7402,20,185.42,83.9,327,74,1,3,1,6,14,10,12,24,10,10,14,14,29,11,25,33,45,54,45,60,61,45,68,10,17,10,10,50,19,46,15,10,14
5623,20,182.88,79.8,227,70,1,3,2,3,42,45,44,68,44,52,49,44,61,59,65,67,60,55,69,55,58,42,61,38,45,23,46,53,44,65,37,42,49
4849,18,190.5,83.9,327,67,1,3,1,6,10,9,15,28,7,12,13,12,16,10,20,28,21,33,38,21,55,23,58,6,27,9,5,36,15,24,12,13,9
2458,27,190.5,88.9,327,70,1,2,1,6,18,18,11,28,11,18,11,11,26,20,48,42,34,54,42,22,69,27,76,18,18,23,13,16,22,53,15,18,14
13377,30,154.94,76.2,823,69,1,3,3,3,66,69,68,68,59,65,52,67,45,67,68,69,71,66,74,67,89,75,74,64,54,32,69,59,59,66,19,19,16
5504,21,152.4,63.0,823,63,1,3,2,9,33,56,53,48,41,48,32,34,34,50,67,73,64,54,81,50,75,54,34,47,34,15,55,50,58,45,35,19,18
313,27,185.42,87.1,104,79,2,3,2,9,44,24,87,53,44,40,40,43,50,52,58,55,53,68,60,68,91,52,90,58,92,64,35,44,46,60,75,80,79
17167,23,185.42,73.9,72,83,1,3,4,3,69,67,58,79,48,78,60,60,73,80,67,59,71,77,75,60,51,74,59,62,70,65,72,84,66,78,69,72,69
15109,25,187.96,83.9,104,78,1,3,2,6,34,21,70,58,24,38,32,25,50,57,53,61,39,68,42,42,76,62,89,37,77,73,27,34,36,63,72,70,66
2830,21,182.88,83.9,391,74,1,3,3,6,52,59,68,64,49,65,47,48,58,65,75,73,72,58,65,65,71,67,75,63,81,45,64,64,50,63,55,41,32
1704,28,152.4,73.9,348,69,1,2,3,6,71,37,59,67,41,74,55,50,65,74,83,85,78,64,78,45,85,83,67,58,70,67,67,68,55,66,58,62,55
1632,28,187.96,81.2,149,69,1,3,2,6,63,33,57,64,43,52,49,54,64,64,59,55,58,69,59,54,77,76,83,53,81,66,53,64,56,61,68,67,66
9147,26,152.4,77.1,328,66,1,3,2,6,57,29,54,56,36,58,33,35,28,59,65,65,61,57,65,32,55,60,61,34,55,59,44,38,40,47,65,66,68
7895,21,187.96,69.9,104,74,1,3,2,3,30,23,62,56,30,33,29,35,45,40,52,52,42,56,57,45,64,59,70,21,60,58,25,39,45,55,58,62,59
5375,19,152.4,69.9,0,67,1,2,2,3,50,44,46,61,23,45,38,45,59,52,63,67,62,47,70,36,51,58,54,29,39,24,48,54,46,51,30,41,36
12953,29,172.72,59.9,823,68,1,2,3,3,59,72,58,69,61,69,57,58,48,74,74,68,80,61,87,63,55,59,45,64,35,23,72,66,65,51,19,23,22
16790,29,152.4,64.9,328,75,1,3,3,6,75,38,49,73,33,74,72,54,65,73,89,81,78,75,73,60,60,91,64,46,71,68,60,62,25,73,72,74,71
14393,27,175.26,67.1,266,70,1,5,3,6,68,70,54,72,68,71,68,67,67,74,80,77,83,70,87,69,63,77,51,68,45,44,72,70,70,78,41,52,48
13982,22,175.26,73.9,749,76,1,3,4,6,67,69,53,64,65,73,61,43,62,74,82,84,78,64,75,72,59,70,70,66,49,23,63,63,41,64,35,23,21
3545,27,152.4,71.2,514,62,1,3,2,3,62,55,39,61,42,61,47,35,37,62,80,80,71,61,71,48,46,65,45,33,23,30,62,63,53,54,12,22,17
971,24,170.18,68.9,69,78,1,3,3,6,70,64,60,72,50,75,71,69,69,75,84,78,77,69,76,69,70,77,55,52,53,42,67,69,66,57,31,23,36
5252,24,154.94,78.0,227,59,1,2,2,3,38,33,36,57,31,50,38,36,55,51,68,65,62,51,62,56,49,55,59,46,56,45,53,51,44,46,49,46,41
16362,24,182.88,73.9,105,82,1,3,2,6,52,47,69,73,47,56,42,42,70,70,63,58,56,67,64,36,76,72,75,39,66,74,49,52,44,62,76,75,75
7793,23,175.26,60.8,310,70,1,3,3,3,58,58,41,64,43,66,56,42,61,67,74,75,68,60,81,55,53,67,55,48,45,33,60,60,48,64,35,39,32
16124,31,185.42,79.8,867,74,1,4,3,6,68,75,70,74,61,72,57,58,62,74,68,74,72,73,71,72,78,79,76,65,70,28,75,70,63,69,24,37,48
16732,20,154.94,71.2,227,85,1,3,3,3,71,64,61,75,64,75,68,70,72,76,81,78,79,76,71,80,71,80,73,77,78,68,71,73,61,74,71,74,73
16412,22,198.12,79.8,149,83,1,3,2,3,64,64,72,76,68,72,74,73,77,75,58,61,56,72,58,84,61,62,75,78,65,74,63,69,52,74,73,77,73
17922,34,182.88,82.1,104,88,4,3,2,6,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,86,88,89,85
5792,24,187.96,81.2,327,64,1,2,1,6,18,15,15,22,18,14,19,17,19,22,38,37,39,57,54,23,53,31,66,20,35,18,16,40,20,40,19,19,19
16504,31,154.94,78.0,227,75,1,3,3,6,68,64,64,75,50,71,58,41,72,73,68,69,66,74,59,75,69,93,79,71,84,74,68,73,57,76,63,71,69
5483,18,187.96,76.2,327,77,1,4,1,3,11,8,12,23,6,6,14,10,22,18,21,20,38,51,32,15,60,24,64,5,28,6,4,33,13,39,12,12,11
14012,19,175.26,68.9,572,85,1,3,3,6,57,39,52,67,41,70,50,32,56,70,84,82,83,65,83,46,52,80,56,36,68,63,64,50,27,75,72,73,68
11960,27,187.96,82.1,327,67,1,1,1,9,15,13,12,27,14,18,16,18,38,26,44,43,47,67,43,41,66,34,55,15,34,19,11,24,23,47,20,19,14
5858,24,172.72,64.9,572,60,1,3,2,3,50,36,49,57,47,45,48,32,52,53,57,73,86,57,86,50,86,56,58,49,52,56,48,41,37,53,55,53,47
16022,30,185.42,77.1,152,73,1,4,3,3,60,55,86,70,43,63,40,47,70,69,69,68,69,73,73,64,74,88,80,62,71,72,70,67,52,70,66,71,72
13441,23,152.4,66.2,536,75,1,4,4,3,65,65,30,64,59,76,64,34,58,72,73,74,74,66,74,73,52,70,47,70,29,15,66,62,56,73,32,29,35
7623,20,170.18,64.9,149,73,1,3,2,3,53,38,45,64,27,60,30,33,61,62,68,67,89,57,87,45,62,73,44,37,52,59,60,63,38,66,65,57,53
17131,30,160.02,57.2,0,77,2,4,4,3,74,62,36,74,61,79,83,76,73,79,91,85,90,74,94,69,58,63,30,78,30,25,69,77,71,71,35,31,18
14978,24,185.42,88.0,615,76,1,2,3,6,68,45,67,64,47,64,53,44,59,69,72,78,61,70,65,59,64,84,80,48,69,69,54,49,41,65,63,68,67
11935,24,195.58,98.0,327,70,1,2,1,9,15,13,14,23,19,17,16,15,16,24,27,28,35,57,25,25,45,24,74,14,23,19,17,38,23,27,12,15,13
6335,21,187.96,84.8,104,65,1,3,2,6,24,16,54,33,22,27,22,23,25,32,55,59,42,48,52,32,68,55,79,17,63,61,22,26,32,47,54,59,56
4469,20,185.42,74.8,227,70,1,3,2,3,41,46,47,57,41,54,47,41,51,59,64,55,58,57,68,52,63,73,61,43,60,46,52,55,38,43,39,46,41
6137,18,170.18,60.8,843,77,1,2,2,3,32,59,59,48,41,62,41,37,35,58,71,72,50,53,87,57,61,50,35,52,30,16,46,44,63,45,21,13,19
6405,21,175.26,68.0,495,66,1,3,2,3,54,45,38,59,43,61,53,45,52,57,76,75,72,52,70,50,57,49,47,41,51,28,53,56,45,57,30,31,34
13627,26,152.4,69.9,594,72,1,3,3,6,72,47,63,72,48,63,52,40,66,69,74,71,70,68,71,65,70,72,64,55,64,66,57,65,46,62,63,66,61
12393,24,185.42,78.9,572,73,1,4,2,6,72,35,55,65,47,67,62,58,67,62,69,68,66,66,67,62,65,72,67,49,67,65,62,64,35,60,64,66,68
16457,36,187.96,82.1,327,74,2,4,1,6,15,13,14,35,13,10,15,14,35,21,58,58,57,69,47,25,80,36,75,13,38,24,14,43,44,60,26,13,14
7515,37,187.96,88.0,834,61,1,3,2,9,54,54,79,62,67,51,45,23,55,58,38,45,55,50,52,73,74,32,85,45,76,51,57,50,56,71,58,56,49
12574,29,187.96,78.9,823,68,1,3,3,6,36,71,73,54,63,62,61,56,30,66,57,51,57,64,60,74,69,61,69,65,54,17,71,47,64,53,17,18,15
1688,27,175.26,68.0,536,69,1,3,3,3,71,62,52,69,62,71,76,71,64,70,71,74,87,65,79,69,56,53,46,64,50,23,64,68,69,68,23,28,31
15425,29,193.04,88.0,149,72,1,3,2,6,38,31,78,67,46,53,35,39,56,65,33,51,44,69,34,71,33,90,91,38,78,78,43,66,43,78,70,71,63
14439,23,190.5,86.2,823,77,1,3,3,6,35,69,72,59,65,64,64,33,42,68,65,67,55,65,58,71,69,59,85,61,64,22,70,54,55,59,18,21,17
10390,21,170.18,69.9,769,75,1,3,3,6,61,58,46,55,65,68,61,48,43,65,85,78,86,58,83,73,53,65,52,67,35,22,60,57,59,49,21,23,23
11607,20,170.18,64.9,454,80,1,3,3,3,45,64,56,58,64,81,45,32,45,71,91,90,80,55,85,64,69,66,54,51,33,17,64,58,58,59,51,24,15
13304,28,152.4,82.1,228,69,1,3,3,6,67,63,64,67,54,67,59,58,67,67,76,76,70,69,77,74,74,84,82,69,86,68,62,65,47,63,66,69,71
12352,31,182.88,78.0,105,67,1,2,2,3,46,27,49,64,22,49,50,36,55,45,71,74,56,63,63,59,73,85,77,21,65,66,37,54,39,49,68,74,67
14543,35,187.96,78.9,116,71,1,4,2,6,51,29,63,48,24,22,33,49,44,48,60,62,68,79,50,56,79,77,74,25,79,77,22,44,44,70,64,73,75
1527,19,190.5,88.0,104,82,1,3,2,6,65,34,68,67,26,56,41,42,72,65,60,64,58,62,52,61,63,66,88,39,71,63,42,57,34,62,65,71,67
6186,19,175.26,64.0,328,71,1,3,2,3,59,24,44,40,22,59,50,34,24,51,87,82,77,49,82,60,74,69,58,37,43,48,46,30,40,39,51,52,50
11135,26,152.4,73.0,328,67,1,3,2,6,65,30,61,58,29,57,51,55,56,62,74,74,74,62,60,58,84,76,77,53,61,59,60,54,40,49,65,63,63
9742,25,170.18,67.1,854,69,1,3,2,3,58,65,50,59,65,61,58,39,53,57,87,84,76,59,81,66,70,72,58,58,44,24,62,60,51,53,28,23,26
3379,24,152.4,78.0,742,68,1,3,2,3,51,61,58,49,53,63,45,34,47,56,87,88,86,63,66,53,80,86,53,57,43,15,65,54,58,62,17,16,19
14840,29,152.4,69.9,328,71,1,3,3,3,71,22,63,68,28,66,45,31,63,70,65,64,67,68,73,36,66,73,65,29,67,68,54,53,28,65,73,73,72
5477,18,152.4,77.1,823,64,1,4,2,3,31,51,47,39,40,52,37,29,32,51,72,70,65,54,65,51,64,57,55,45,35,12,59,44,50,54,18,19,15
4918,20,154.94,77.1,327,63,1,2,1,6,13,5,13,27,9,14,10,12,21,15,16,27,31,43,34,15,47,16,44,8,25,12,6,16,17,35,11,13,14
5046,20,154.94,68.0,615,65,1,2,2,3,42,28,33,44,25,52,38,24,34,46,73,67,72,52,73,39,52,60,42,33,52,50,45,40,32,45,46,48,46
14847,28,172.72,71.2,140,71,1,2,2,9,52,53,38,65,47,60,51,45,59,63,67,64,82,68,87,74,74,83,68,61,89,73,56,60,54,58,71,75,76
13702,22,170.18,63.0,536,77,1,3,3,6,65,62,31,66,52,76,73,63,57,71,75,74,83,64,84,70,70,69,55,64,46,20,64,62,68,70,32,25,21
7662,27,187.96,73.9,104,62,1,2,2,6,39,22,61,31,52,19,50,55,46,33,53,56,67,54,72,66,80,74,80,20,71,60,42,35,44,65,58,62,57
4688,25,182.88,74.8,105,58,1,2,2,6,40,44,54,55,40,52,46,41,53,54,43,38,34,40,47,42,48,48,63,32,47,53,38,40,43,52,48,56,52
1694,20,190.5,81.2,104,80,1,3,2,3,28,23,58,69,30,45,37,33,71,70,67,65,63,68,60,47,54,67,76,24,68,71,32,34,35,63,67,72,69
17094,27,170.18,67.1,69,76,2,3,4,6,77,69,63,77,70,76,75,79,76,79,71,66,82,72,90,71,37,67,40,72,52,45,72,75,72,71,35,44,43
4738,19,167.64,64.9,709,67,1,2,2,6,48,46,29,39,30,55,37,41,38,44,76,73,78,54,88,32,61,75,39,47,54,49,53,39,46,46,49,42,46
1090,24,152.4,81.2,823,75,1,3,3,9,41,68,68,64,60,66,48,43,39,64,79,87,68,64,76,75,70,65,82,61,78,13,74,58,69,57,37,23,21
11217,24,175.26,68.0,422,71,1,3,2,6,70,40,34,68,46,70,55,46,54,67,79,76,82,61,83,58,60,69,44,57,57,60,56,52,41,48,67,58,63
290,33,182.88,79.8,116,77,3,3,2,6,63,52,81,80,56,55,61,64,78,64,67,64,61,70,56,78,90,52,79,68,77,73,41,51,62,72,72,79,80
5426,23,175.26,71.2,823,62,1,3,2,6,28,57,39,45,45,58,46,32,35,55,61,54,56,53,72,58,51,54,47,49,32,19,53,50,56,42,12,13,17
16951,19,195.58,89.8,116,85,1,3,2,9,46,26,77,72,25,49,37,25,58,54,52,69,44,71,34,56,64,62,89,24,75,71,31,42,30,75,72,83,75
4965,21,172.72,69.9,227,61,1,2,2,6,37,29,48,55,28,47,38,33,53,49,62,61,65,53,76,46,58,53,54,29,59,49,26,56,44,44,45,50,49
10708,23,170.18,68.9,140,74,1,3,2,3,55,33,56,68,45,55,48,62,63,66,70,70,73,63,80,62,58,71,53,50,68,62,50,50,48,48,62,65,60
7319,23,167.64,68.0,675,64,1,3,3,6,54,50,42,57,41,61,58,46,54,50,82,83,81,55,77,57,69,67,57,54,35,25,55,54,57,56,37,32,28
10931,28,193.04,86.2,327,68,1,3,1,3,13,12,18,27,19,12,18,12,32,20,42,44,30,62,41,21,61,42,75,15,30,24,17,54,21,46,10,13,17
1944,29,175.26,69.9,615,68,1,3,3,3,72,40,53,66,38,64,70,65,58,64,82,91,81,67,85,69,81,89,72,48,66,60,64,68,60,63,57,59,57
11930,19,182.88,73.0,856,83,1,3,3,6,36,69,62,65,63,65,41,48,42,63,69,70,67,58,61,64,60,68,74,67,32,19,66,55,64,57,45,12,12
123,22,154.94,76.2,247,89,1,3,4,6,67,59,56,83,59,86,67,63,79,84,84,76,83,80,84,80,63,78,78,70,81,73,70,79,60,84,66,73,69
2856,28,182.88,78.9,328,65,1,2,2,9,61,47,62,62,45,58,64,62,59,60,69,72,64,60,76,67,78,84,78,58,57,58,49,57,67,71,65,64,62
